,Date,RealE_SUM
0,"03/25/2023, 10:35:28",197559232.0
1,"03/25/2023, 10:35:58",197627358.0525729
2,"03/25/2023, 10:36:28",197726721.19699055
3,"03/25/2023, 10:36:58",197795130.25941697
4,"03/25/2023, 10:37:28",197817515.86583963
5,"03/25/2023, 10:37:58",197823322.62691525
6,"03/25/2023, 10:38:29",197829170.45419383
7,"03/25/2023, 10:38:59",197835800.18197343
8,"03/25/2023, 10:39:29",197840944.9558601
9,"03/25/2023, 10:39:59",197846505.319719
10,"03/25/2023, 10:40:29",197852238.1616297
11,"03/25/2023, 10:40:59",197857332.0134248
12,"03/25/2023, 10:41:30",197863720.2719322
13,"03/25/2023, 10:42:00",197869829.28026047
14,"03/25/2023, 10:42:30",197875417.5691371
15,"03/25/2023, 10:43:00",197881411.5920977
16,"03/25/2023, 10:43:30",197885096.05181277
17,"03/25/2023, 10:44:00",197888862.64393345
18,"03/25/2023, 10:44:31",197892796.0065996
19,"03/25/2023, 10:45:01",197896806.4902027
20,"03/25/2023, 10:45:31",197902721.66605368
21,"03/25/2023, 10:46:01",197908176.9004335
22,"03/25/2023, 10:46:31",197913635.4201096
23,"03/25/2023, 10:47:01",197919146.50452492
24,"03/25/2023, 10:47:31",197924802.14197448
25,"03/25/2023, 10:48:02",197930676.25162268
26,"03/25/2023, 10:48:32",197936512.58036444
27,"03/25/2023, 10:49:02",197942115.65307423
28,"03/25/2023, 10:49:32",197947735.15226507
29,"03/25/2023, 10:50:02",197953129.60866475
30,"03/25/2023, 10:50:32",197958663.69015384
31,"03/25/2023, 10:51:02",197964215.8407721
32,"03/25/2023, 10:51:33",197969561.01772845
33,"03/25/2023, 10:52:03",197975262.6493249
34,"03/25/2023, 10:52:33",197981182.7531203
35,"03/25/2023, 10:53:03",197986703.6934245
36,"03/25/2023, 10:53:33",197992513.7397964
37,"03/25/2023, 10:54:03",197998328.7141128
38,"03/25/2023, 10:54:34",198003984.351562
39,"03/25/2023, 10:55:04",198009646.7544943
40,"03/25/2023, 10:55:34",198015246.3470176
41,"03/25/2023, 10:56:04",198021018.6124828
42,"03/25/2023, 10:56:34",198026915.7192047
43,"03/25/2023, 10:57:04",198032389.02271363
44,"03/25/2023, 10:57:35",198038185.9279008
45,"03/25/2023, 10:58:05",198043848.1359424
46,"03/25/2023, 10:58:35",198049421.6409863
47,"03/25/2023, 10:59:05",198055299.03593084
48,"03/25/2023, 10:59:35",198060905.39393675
49,"03/25/2023, 11:00:05",198066585.671108
50,"03/25/2023, 11:00:35",198072155.89085552
51,"03/25/2023, 11:01:06",198077714.61206636
52,"03/25/2023, 11:01:36",198083749.70122945
53,"03/25/2023, 11:02:06",198089725.65506077
54,"03/25/2023, 11:02:36",198095271.23508653
55,"03/25/2023, 11:03:06",198100948.2269614
56,"03/25/2023, 11:03:37",198106592.36587408
57,"03/25/2023, 11:04:07",198112358.06074703
58,"03/25/2023, 11:04:37",198118534.4176477
59,"03/25/2023, 11:05:07",198124125.99182087
60,"03/25/2023, 11:05:37",198129617.976972
61,"03/25/2023, 11:06:07",198135332.13724044
62,"03/25/2023, 11:06:37",198140943.42319077
63,"03/25/2023, 11:07:08",198146866.8122824
64,"03/25/2023, 11:07:38",198152951.1808891
65,"03/25/2023, 11:08:08",198158777.65374205
66,"03/25/2023, 11:08:38",198163988.13355312
67,"03/25/2023, 11:09:08",198169330.0252133
68,"03/25/2023, 11:09:38",198175135.14364076
69,"03/25/2023, 11:10:09",198180409.68672812
70,"03/25/2023, 11:10:39",198185751.57838815
71,"03/25/2023, 11:11:09",198191737.38810813
72,"03/25/2023, 11:11:39",198197912.10236096
73,"03/25/2023, 11:12:09",198203001.0262116
74,"03/25/2023, 11:12:39",198208415.19438863
75,"03/25/2023, 11:13:10",198213722.59043825
76,"03/25/2023, 11:13:40",198218668.6039033
77,"03/25/2023, 11:14:10",198224386.6619808
78,"03/25/2023, 11:14:40",198229546.21970057
79,"03/25/2023, 11:15:10",198232555.5510417
80,"03/25/2023, 11:15:40",198232969.4983658
81,"03/25/2023, 11:16:11",198233005.6366242
82,"03/25/2023, 11:16:41",198233799.0356622
83,"03/25/2023, 11:17:11",198238994.73164025
84,"03/25/2023, 11:17:41",198243539.938966
85,"03/25/2023, 11:18:11",198248167.27869728
86,"03/25/2023, 11:18:41",198252847.1831682
87,"03/25/2023, 11:19:12",198257530.37293535
88,"03/25/2023, 11:19:42",198262364.6863288
89,"03/25/2023, 11:20:12",198267409.25868052
90,"03/25/2023, 11:20:42",198272425.90601453
91,"03/25/2023, 11:21:12",198277235.57968605
92,"03/25/2023, 11:21:42",198282513.40806988
93,"03/25/2023, 11:22:12",198287544.8392366
94,"03/25/2023, 11:22:43",198292798.02789852
95,"03/25/2023, 11:23:13",198298085.71217105
96,"03/25/2023, 11:23:43",198303320.8317037
97,"03/25/2023, 11:24:13",198309153.87514904
98,"03/25/2023, 11:24:43",198314472.76973552
99,"03/25/2023, 11:25:13",198319908.29233783
100,"03/25/2023, 11:25:43",198325488.3679742
101,"03/25/2023, 11:26:13",198330987.14644963
102,"03/25/2023, 11:26:43",198336743.7928372
103,"03/25/2023, 11:27:14",198342148.10512552
104,"03/25/2023, 11:27:44",198347650.97630045
105,"03/25/2023, 11:28:14",198353191.62838212
106,"03/25/2023, 11:28:44",198358581.1568371
107,"03/25/2023, 11:29:14",198364353.42230263
108,"03/25/2023, 11:29:44",198369683.8154258
109,"03/25/2023, 11:30:14",198375101.26889887
110,"03/25/2023, 11:30:44",198380517.07972407
111,"03/25/2023, 11:31:14",198386299.201078
112,"03/25/2023, 11:31:44",198391894.0605472
113,"03/25/2023, 11:32:14",198397327.9405017
114,"03/25/2023, 11:32:44",198402586.05710787
115,"03/25/2023, 11:33:15",198409140.2230744
116,"03/25/2023, 11:33:45",198415149.02986792
117,"03/25/2023, 11:34:15",198420844.09087208
118,"03/25/2023, 11:34:45",198426197.4810688
119,"03/25/2023, 11:35:15",198432222.71434337
120,"03/25/2023, 11:35:45",198438080.39751047
121,"03/25/2023, 11:36:15",198444673.98703185
122,"03/25/2023, 11:36:45",198451208.4412212
123,"03/25/2023, 11:37:15",198456591.3990839
124,"03/25/2023, 11:37:45",198462506.57493508
125,"03/25/2023, 11:38:15",198468234.48890144
126,"03/25/2023, 11:38:46",198474095.45736477
127,"03/25/2023, 11:39:16",198479721.527148
128,"03/25/2023, 11:39:46",198485464.2249474
129,"03/25/2023, 11:40:16",198491494.3861664
130,"03/25/2023, 11:40:46",198497238.72661385
131,"03/25/2023, 11:41:16",198503365.80407125
132,"03/25/2023, 11:41:46",198508949.16500375
133,"03/25/2023, 11:42:16",198514800.27757844
134,"03/25/2023, 11:42:46",198520483.84004572
135,"03/25/2023, 11:43:16",198525925.93324053
136,"03/25/2023, 11:43:46",198531698.19870597
137,"03/25/2023, 11:44:17",198537549.3112808
138,"03/25/2023, 11:44:47",198543055.4677517
139,"03/25/2023, 11:45:17",198548610.90366632
140,"03/25/2023, 11:45:47",198554107.20424896
141,"03/25/2023, 11:46:17",198559680.5144023
142,"03/25/2023, 11:46:47",198565766.72054744
143,"03/25/2023, 11:47:17",198571110.25485548
144,"03/25/2023, 11:47:47",198577258.6867384
145,"03/25/2023, 11:48:17",198582815.7653012
146,"03/25/2023, 11:48:47",198588371.2012156
147,"03/25/2023, 11:49:17",198594784.0994449
148,"03/25/2023, 11:49:48",198600773.19446075
149,"03/25/2023, 11:50:18",198606504.3937233
150,"03/25/2023, 11:50:48",198612048.33110124
151,"03/25/2023, 11:51:18",198617738.46416083
152,"03/25/2023, 11:51:48",198623594.50468004
153,"03/25/2023, 11:52:18",198629531.03495643
154,"03/25/2023, 11:52:48",198635239.2371456
155,"03/25/2023, 11:53:18",198640779.88922697
156,"03/25/2023, 11:53:48",198646471.66493475
157,"03/25/2023, 11:54:18",198653020.90295723
158,"03/25/2023, 11:54:48",198658784.9551818
159,"03/25/2023, 11:55:18",198664709.98692164
160,"03/25/2023, 11:55:48",198670485.53768325
